name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
Sims Metal Management,https://www.simsmm.com,1000 W Loop N,Houston,TX,77055,United States,(713) 681-2000,info@simsmm.com,,https://www.facebook.com/SimsMetalManagement,Mon-Fri 8am-5pm,"Steel, Aluminum, Copper, Brass","Steel: $200/ton, Aluminum: $800/ton",Leading global metal recycling company.
Texas Scrap Metal,https://www.texasscrapmetal.com,12345 W Little York Rd,Houston,TX,77041,United States,(281) 999-9999,contact@texasscrapmetal.com,,,Mon-Sat 8am-6pm,"Copper, Aluminum, Brass, Lead","Copper: $3.00/lb, Aluminum: $0.90/lb",Local scrap metal recycling center.
Metal Recycling Services,https://www.metalrecyclingservices.com,4567 N Shepherd Dr,Houston,TX,77018,United States,(713) 695-1234,info@metalrecyclingservices.com,,,Mon-Fri 8am-5pm,"Steel, Iron, Aluminum","Steel: $250/ton, Iron: $150/ton",Comprehensive metal recycling solutions.
Houston Scrap Metal,https://www.houstonscrapmetal.com,7890 S Main St,Houston,TX,77030,United States,(713) 123-4567,info@houstonscrapmetal.com,,,Mon-Sat 9am-5pm,"Copper, Aluminum, Steel","Copper: $2.80/lb, Aluminum: $0.85/lb",Reliable scrap metal buyer and recycler.
Allied Scrap Metal,https://www.alliedscrapmetal.com,2345 W Loop N,Houston,TX,77027,United States,(713) 555-1212,sales@alliedscrapmetal.com,,,Mon-Fri 8am-5pm,"Brass, Copper, Aluminum","Brass: $3.50/lb, Copper: $3.10/lb",Scrap metal recycling and processing.
American Scrap Metal,https://www.americanscrapmetal.com,3456 S Loop W,Houston,TX,77054,United States,(713) 555-1313,info@americanscrapmetal.com,,,Mon-Fri 8am-5pm,"Steel, Aluminum, Copper","Steel: $220/ton, Aluminum: $0.95/lb",Local scrap metal recycling experts.
Recycling Center of Houston,https://www.recyclingcenterhouston.com,5678 E Freeway,Houston,TX,77020,United States,(713) 555-1414,contact@recyclingcenterhouston.com,,,Mon-Sat 8am-6pm,"Copper, Aluminum, Steel","Copper: $2.90/lb, Aluminum: $0.88/lb",Full-service recycling center.
Houston Metal Recycling,https://www.houstonmetalrecycling.com,6789 N Main St,Houston,TX,77009,United States,(713) 555-1515,info@houstonmetalrecycling.com,,,Mon-Fri 8am-5pm,"Steel, Copper, Brass","Steel: $210/ton, Brass: $3.20/lb",Your local metal recycling partner.
Scrap Metal Buyers Houston,https://www.scrapmetalbuyershouston.com,7890 W Little York Rd,Houston,TX,77040,United States,(713) 555-1616,info@scrapmetalbuyershouston.com,,,Mon-Fri 8am-5pm,"Copper, Aluminum, Steel","Copper: $3.00/lb, Aluminum: $0.92/lb",Top cash for scrap metal.
Industrial Metal Recycling,https://www.industrialmetalrecycling.com,1234 Industrial Blvd,Houston,TX,77029,United States,(713) 555-1717,info@industrialmetalrecycling.com,,,Mon-Fri 8am-5pm,"Steel, Copper, Aluminum","Steel: $230/ton, Copper: $3.05/lb",Specializing in industrial metal recycling.
Greenway Metal Recycling,https://www.greenwaymetalrecycling.com,2345 Greenway Dr,Houston,TX,77046,United States,(713) 555-1818,info@greenwaymetalrecycling.com,,,Mon-Fri 8am-5pm,"Copper, Aluminum, Brass","Copper: $3.10/lb, Brass: $3.40/lb",Eco-friendly metal recycling services.
Alamo Scrap Metal,https://www.alamoscrapmetal.com,3456 Alamo St,Houston,TX,77007,United States,(713) 555-1919,info@alamoscrapmetal.com,,,Mon-Fri 8am-5pm,"Steel, Copper, Aluminum","Steel: $240/ton, Copper: $3.20/lb",Scrap metal recycling and processing.
Bayou City Scrap Metal,https://www.bayoucityscrapmetal.com,4567 Bayou St,Houston,TX,77002,United States,(713) 555-2020,info@bayoucityscrapmetal.com,,,Mon-Fri 8am-5pm,"Copper, Aluminum, Brass","Copper: $3.15/lb, Brass: $3.25/lb",Local scrap metal recycling service.
