name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
"Houston,Texas Junkyards & Salvage Yards",https://www.rustysautosalvage.com/texas/houston.html,5261   Houston 1601 Townhurst,,DR,77043,United States,"['(866) 439-4401', '(926) 290-6700']",[],[],[],,[],[],Our network of Houston Texas junkyards and auto salvage yards will pay you cash for your junk car on the spot and offer free junk car removal in all of Houston TX.
Houston TX Aluminum Recycling Center,https://astrocityscrap.com/houston-tx-aluminum-recycling-center/,4530 North Shepherd Houst,on,TX,77018,United States,['(713) 697-2999'],['donbuntin1@gmail.com'],[],[],,"['Scrap Metal', 'Stainless Steel', 'Copper', 'Steel', 'Iron', 'Aluminum', 'Brass']",[],"Houston TX Aluminum Recycling Center, Astro City Scrap Metal will pay you top dollar for your scrap metal in CASH! Call now!"
D&D Scrap Metal | D&D Scrap Metal,https://dndscrapmetal.com/,,,,,United States,"['(832) 530-4333', '(001) 234-5678']",[],[],[],,"['Scrap Metal', 'Copper', 'Steel', 'Aluminum', 'Lead', 'Brass']",[],
I Am Recycling,https://iamrecyclinghouston.com/,7614 Almeda GenoaHoust,on,TX,77075,United States,['(713) 991-2043'],['77075713-991-2043iamrecyclinghouston@gmail.com'],[],[],,"['Scrap Metal', 'Stainless Steel', 'Copper', 'Steel', 'Aluminum', 'Lead', 'Brass']",[],
"Metal Recycling That MovesPeople, Planet & Profit Forward",https://southpostoakrecycling.com/,,,,,United States,['(713) 433-9944'],['info@southpostoakrecycling.com'],[],[],,"['Scrap Metal', 'Appliance', 'Copper', 'Aluminum']",[],"Looking for a trusted Houston Scrap Metal Recycling Center? SPORC offers top dollar for copper, aluminum, steel, & more. Fast, fair payouts—call or visit today!"
GENUINE USED AUTO PARTS,https://prestigepullyourpart.com/,,,,,United States,['(832) 770-9953'],['info@pullyourpart.com'],[],[],,['Auto Parts'],[],"We are a premium auto recycler & retailer of used auto parts. Just pick a tool, and pull your part. It’s that easy."
Houston,https://lgbtq.visithoustontexas.com/,"701 Avenida de las Americas
					Houst",on,TX,77010,United States,[],[],[],[],,[],[],"Houston, Texas is the 4th largest city in the country and is a diverse area brimming with gay-friendly nightlife, dining, hotels, events, festivals, bars and shopping. Find out what's happening now, learn about Houston's LGBTQ community and let us help plan your vacation today."
"Houston, Texas","https://www.newworldencyclopedia.org/entry/Houston,_Texas",,,,,United States,"['(089) 096-4769', '(097) 416-0539']",[],[],[],,['Lead'],[],
the Ultimate Scrap Showdown!,https://cdscrapmetal.com/,6775 Bingle Road Houst,on,TX,77092,United States,"['(832) 501-9925', '(832) 786-8687', '(713) 862-5588']",[],[],[],,"['Scrap Metal', 'Stainless Steel', 'Electronic', 'Copper', 'Appliance', 'Steel', 'Iron', 'Aluminum', 'Lead', 'Brass']",[],Discover scrap metal recycling services at C&D Scrap Metal. We offer competitive pricing and efficient processing for all types of metal waste. Call us today.
Houston Copper Recycling by Gulf Coast Scrap Metal,https://www.houstoncopper.com/,"4111
8770 Hempstead Road",Houston,TX,77008,United States,['(713) 868-4111'],[],[],[],,"['Scrap Metal', 'Stainless Steel', 'Electronic', 'Copper', 'Steel', 'Iron', 'Lead', 'Brass']",[],Houston copper recycling company pays more for your copper scrap. Call 713- 868-4111 today!
Houston Auto Recyclers,https://www.houstonautorecyclers.com/,,,,,United States,['(281) 260-8080'],[],[],[],,[],[],
Houston Scrap Metal Recycling,https://www.gulfcoastscrapmetal.com/,8770 Hempstead Rd Houst,on,TX,77008,United States,['(713) 868-4111'],"['gulfcoastscrapmetal@yahoo.com', 'gulfcoastscrapmetal@yahoo.comserving']",[],[],,"['Scrap Metal', 'Electronic', 'Copper', 'Steel', 'Aluminum', 'Brass']",[],"Recycle industrial scrap metal with Gulf Coast Scrap Metal. Offering container services, job site pick-up, and top prices in Houston. Call 713-868-4111 today!"
"Houston Scrap Metal | Scrap Metal Recycling | Sell Metal Scrap | Houston, TX Scrap Yard",https://houstonscrapmetal.co/,11801 W Montgomery Road,Houston,TX,77086,United States,['(281) 869-3900'],[],[],[],,"['Scrap Metal', 'Stainless Steel', 'Electronic', 'Copper', 'Appliance', 'Steel', 'Iron', 'Aluminum', 'Brass']",[],
"Aluminum Recycling Service & Buying in Houston, Texas",https://www.armetalrecyclers.com/aluminum-recycling.html,,,,,United States,['(713) 410-8333'],[],[],[],,"['Scrap Metal', 'Aluminum']",[],"A & R Recycling Company, Aluminum Recycling Service, Aluminum Scrap Buyer, Houston, Texas"
Copper Scrap and Wire Recycling,https://houstontexascopper.com/,"4111
8770 Hempstead Road",Houston,TX,77008,United States,['(713) 868-4111'],[],[],[],,"['Scrap Metal', 'Copper']",[],Gulf Coast Scrap Metal is a Houston copper recycling facility. Get more cash for your copper scrap! Call 713-868-4111.
Top Prices forScrap Metal,https://coastalmetalrecycling.com/,14002 Hempstead HighwayHoust,on,TX,77040,United States,['(713) 690-6777'],['scrap@coastalmetalrecycling.com'],[],[],,"['Scrap Metal', 'Appliance', 'Copper', 'Iron', 'Aluminum', 'Lead', 'Brass']",[],"We are Houston’s leader in metal recycling, offering cash for scrap iron, copper, aluminum, and other metals."
"Junkyards & Auto Salvagein Houston, TX",https://preferredjunkyard.com/texas/houston/,900 Aldine Mail Rte Rd,Houston,TX,77037,United States,[],[],[],[],,"['Lead', 'Auto Parts', 'Iron']",[],"Find Trusted Junkyards and Auto Salvage Yards in Houston, Texas that Buy Junk Cars and Sell Reliable Used Auto and Truck Parts."
Recycling metal.,https://www.prolerindustries.com/,,,,,United States,[],['sales@prolerindustries.com'],[],[],,['Scrap Metal'],[],"Proler has a long history of unparalleled safety, transparent operations, amazing service, and efficient operations that enable competitive pricing without taking shortcuts."
Houston Metal Recycling with Gulf Coast Scrap Metal,https://houstontexasmetalrecycling.com/,"4111
8770 Hempstead Road",Houston,TX,77008,United States,['(713) 868-4111'],[],[],[],,"['Scrap Metal', 'Stainless Steel', 'Copper', 'Steel', 'Iron', 'Aluminum', 'Lead', 'Brass']",[],No one does Houston metal recycling like Gulf Coast Scrap Metal. Call 713-868-4111 for the highest price on scrap.
Scrap Metal Recycling,https://www.texascoastscrapmetal.com/,,,,,United States,['(713) 690-6075'],['craig32d@hotmail.com'],[],[],,"['Scrap Metal', 'Stainless Steel', 'Copper', 'Steel', 'Iron', 'Aluminum', 'Lead', 'Brass']",[],"Texas Coast Scrap Metal has provided scrap metal recycling services to the Houston, TX area for over 30 years. We pay top dollar for your scrap metal."
Airline Auto Parts | Airline Auto Parts Website,https://airlineautoparts.net/,10616 Airline Dr.,Houston,TX,77037,United States,"['(281) 448-2000', '(800) 989-0090', '(281) 447-9607']",[],[],[],,"['Auto Parts', 'Iron']",[],"Find quality used auto parts at Airline Auto Parts in Houston. From engines to transmissions, we help you save money while ensuring longevity and reliability."
Safety and comfort in every kilometer,http://autobusesloschavez.com,,,,,United States,"['(415) 104-0263', '(713) 237-8227', '(832) 798-8302']",[],[],[],,[],[],Enjoy a unique experience and quality service on our daily departures to thousands of destinations in the USA and Mexico.
Get Paid for Aluminum Metal Recycling at Gulf Coast Scrap Metal,https://www.houstonaluminum.com/,"4111
8770 Hempstead Road",Houston,TX,77008,United States,['(713) 868-4111'],[],[],[],,"['Scrap Metal', 'Stainless Steel', 'Copper', 'Steel', 'Iron', 'Aluminum', 'Lead', 'Brass']",[],Aluminum recycling? Gulf Coast Scrap Metal specializes in scrap aluminum recycling. Call (713) 868-4111 today!
Submit documents to WikiLeaks,https://our.wikileaks.org/Vault_7,,,,,United States,[],['researchcommunity@wikileaks.org'],[],[],,['Lead'],[],
CALL US TODAY!(713) 799-9960,https://www.holmesroadrecycling.com/,"2820 Holmes Rd
Houst",on,TX,77051,United States,[],['info@holmesroadrecycling.com'],[],[],,['Scrap Metal'],[],Holmes Road Recycling can handle all of your Houston Metal Recycling. Turn your Scrap Metal into Cash. Our Houston Scrap Metal Recycling Center is conveniently located.
Houston Metal Recycling,https://houstontexasrecycling.com/,"4111
8770 Hempstead Road",Houston,TX,77008,United States,['(713) 868-4111'],[],[],[],,"['Scrap Metal', 'Stainless Steel', 'Copper', 'Steel', 'Iron', 'Aluminum', 'Lead', 'Brass']",[],"Houston, TX metal recycling is made easy by Gulf Coast Scrap Metal. Call 713-868-4111 for our current prices."
Houston TX Copper Scrap Metal Recycling,https://astrocityscrap.com/houston-tx-copper-scrap-metal-recycling/,4530 North Shepherd Houst,on,TX,77018,United States,[],['donbuntin1@gmail.com'],[],[],,"['Scrap Metal', 'Stainless Steel', 'Appliance', 'Copper', 'Zinc', 'Steel', 'Iron', 'Aluminum', 'Brass']",[],"Houston TX Copper Scrap Metal Recycling, Astro City Scrap Metal is here for your recycling needs. You'll get the best cash prices hands down!"
