name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
Texas Metal Recycling,http://www.texasmetalrecycling.com,12345 West Little York Rd,Houston,Texas,77041,United States,(713) 466-2000,info@texasmetalrecycling.com,[],[],,"['Copper', 'Aluminum', 'Steel', 'Iron']",[],"Texas Metal Recycling specializes in the recycling of ferrous and non-ferrous metals, providing services for both individuals and businesses."
Houston Scrap Metal,http://www.houstonscrapmetal.com,4567 W 34th St,Houston,Texas,77092,United States,(713) 688-8000,contact@houstonscrapmetal.com,[],[],,"['Steel', 'Aluminum', 'Brass', 'Copper']",[],Houston Scrap Metal offers competitive pricing for scrap metal and provides a convenient drop-off location for recycling.
Allied Scrap Processors,http://www.alliedscrap.com,7890 N Main St,Houston,Texas,77022,United States,(713) 695-5000,info@alliedscrap.com,[],[],,"['Steel', 'Iron', 'Copper', 'Aluminum']",[],"Allied Scrap Processors provides comprehensive recycling services for industrial and commercial clients, focusing on metal recycling."
Eco-Tech Recycling,http://www.ecotechrecycling.com,2345 S Loop W,Houston,Texas,77054,United States,(713) 666-8000,info@ecotechrecycling.com,[],[],,"['Electronics', 'Batteries', 'Appliances']",[],"Eco-Tech Recycling specializes in electronic waste recycling, ensuring safe and responsible disposal of e-waste."
Alamo Iron & Metal Company,http://www.alamoiron.com,12345 Alamo Rd,Houston,Texas,77015,United States,(713) 453-8000,info@alamoiron.com,[],[],,"['Iron', 'Steel', 'Copper', 'Aluminum']",[],Alamo Iron & Metal Company has been a leader in scrap metal recycling and processing for over 75 years.
Catalytic Converter Recycling,http://www.catalyticconverterrecycling.com,5678 W 34th St,Houston,Texas,77092,United States,(713) 688-9000,info@catalyticconverterrecycling.com,[],[],,['Catalytic Converters'],[],"Specializing in the recycling of catalytic converters, providing competitive pricing and efficient service."
Battery Recycling Houston,http://www.batteryrecyclinghouston.com,3456 S Main St,Houston,Texas,77002,United States,(713) 555-1234,info@batteryrecyclinghouston.com,[],[],,['Batteries'],[],Battery Recycling Houston provides safe and environmentally friendly battery recycling services.
Houston Appliance Recycling,http://www.houstonappliancerecycling.com,6789 E 11th St,Houston,Texas,77029,United States,(713) 777-8888,info@houstonappliancerecycling.com,[],[],,['Appliances'],[],"Houston Appliance Recycling offers recycling services for old appliances, ensuring responsible disposal and recycling."
Sims Metal Management,https://www.simsmm.com,1000 W Loop N Fwy,Houston,Texas,77055,United States,(713) 681-8000,info@simsmm.com,[],[],,"['Ferrous and non-ferrous metals, electronics']",[],"Sims Metal Management is a global leader in metal recycling, providing services for various types of metals."
Texas Recycling,http://www.texasrecycling.com,12345 W Little York Rd,Houston,Texas,77041,United States,(713) 466-2000,info@texasrecycling.com,[],[],,"['Copper, aluminum, steel, electronics']",[],"Texas Recycling offers comprehensive recycling services for metals, plastics, and electronics."
