name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
"Houston Scrap Metal | Scrap Metal Recycling | Sell Metal Scrap | Houston, TX Scrap Yard",https://houstonscrapmetal.co/,11801 W Montgomery Road,Houston,TX,77086,United States,['(281) 869-3900'],[],[],[],,"['Steel', 'Scrap Metal', 'Iron', 'Brass', 'Stainless Steel', 'Copper', 'Electronic', 'Appliance', 'Aluminum']",[],
Top Prices forScrap Metal,https://scraphouston.com/,14002 Hempstead HighwayHoust,on,TX,77040,United States,['(713) 690-6777'],['scrap@coastalmetalrecycling.com'],[],[],,"['Scrap Metal', 'Iron', 'Brass', 'Copper', 'Lead', 'Appliance', 'Aluminum']",[],"We are Houston’s leader in metal recycling, offering cash for scrap iron, copper, aluminum, and other metals."
Recycle HoustonGreater TexasMetal Recycling,https://recyclehouston.com/,"77587




				Map of 1211 College Ave
				South Houst",on,TX,77587-5401,United States,[],"['harry@recylehouston.com', 'ruby@recylehouston.com', 'info@recylehouston.com']",[],[],,"['Iron', 'Brass', 'Copper', 'Lead', 'Aluminum']",[],
"Gulf Coast Scrap Metal: Houston, Texas Metal Recycling Center",https://houstontexasrecyclingcenter.com/,"4111
8770 Hempstead Road",Houston,TX,77008,United States,['(713) 868-4111'],[],[],[],,"['Steel', 'Scrap Metal', 'Iron', 'Brass', 'Copper', 'Lead', 'Aluminum']",[],"Gulf Coast Scrap is a metal recycling center located in the heart of Houston, Texas. Call 713-868-4111 to sell your scrap!"
CALL US TODAY!(713) 799-9960,https://www.holmesroadrecycling.com/houston-metal-recycling/,"2820 Holmes Rd
Houst",on,TX,77051,United States,[],['info@holmesroadrecycling.com'],[],[],,"['Steel', 'Scrap Metal', 'Iron', 'Stainless Steel', 'Copper']",[],"Holmes Road Recycling recycles a variety of scrap metals. We offer all types of scrap metal recycling for Houston, TX residents. Call or come by today."
WE GUARANTEE THE HIGHEST PRICES,https://astrocityscrap.com/,4530 North Shepherd Houst,on,TX,77018,United States,[],['donbuntin1@gmail.com'],[],[],,"['Steel', 'Scrap Metal', 'Iron', 'Brass', 'Stainless Steel', 'Copper', 'Aluminum']",[],"Metal Scrap Yard Near Me Houston | Astro City Scrap Metal. We Want To Buy Your Scrap Metal! Best Price in Houston, TX! Call 713-697-2999."
Best Salvage Yards In Houston,https://www.bestinhood.com/houston/auto-services/best-salvage-yards-in-houston/,2425 W Mt Houston Rd,Houston,TX,77038,United States,[],[],[],[],,"['Lead', 'Auto Parts']",[],"Uncover the top salvage yards in Houston! From pricing to quality, explore our guide for the best deals on auto parts. Happy hunting!"
BigCat Auto Salvage Houston TX,https://autosalvagehouston.com/,"1010 Aldine Mail Route Rd
Houst",on,TX,77037,United States,[],[],[],[],,[],[],
"Junkyards & Auto Salvagein Houston, TX",https://preferredjunkyard.com/texas/houston/,900 Aldine Mail Rte Rd,Houston,TX,77037,United States,[],[],[],[],,"['Lead', 'Auto Parts', 'Iron']",[],"Find Trusted Junkyards and Auto Salvage Yards in Houston, Texas that Buy Junk Cars and Sell Reliable Used Auto and Truck Parts."
Scrap Metal Recycling,https://www.texascoastscrapmetal.com/,,,,,United States,['(713) 690-6075'],['craig32d@hotmail.com'],[],[],,"['Steel', 'Scrap Metal', 'Iron', 'Brass', 'Stainless Steel', 'Copper', 'Lead', 'Aluminum']",[],"Texas Coast Scrap Metal has provided scrap metal recycling services to the Houston, TX area for over 30 years. We pay top dollar for your scrap metal."
Airline Auto Parts | Airline Auto Parts Website,https://airlineautoparts.net/,10616 Airline Dr.,Houston,TX,77037,United States,"['(281) 447-9607', '(281) 448-2000', '(800) 989-0090']",[],[],[],,"['Auto Parts', 'Iron']",[],"Find quality used auto parts at Airline Auto Parts in Houston. From engines to transmissions, we help you save money while ensuring longevity and reliability."
"Houston,Texas Junkyards & Salvage Yards",https://www.rustysautosalvage.com/texas/houston.html,5261   Houston 1601 Townhurst,,DR,77043,United States,"['(926) 290-6700', '(866) 439-4401']",[],[],[],,[],[],Our network of Houston Texas junkyards and auto salvage yards will pay you cash for your junk car on the spot and offer free junk car removal in all of Houston TX.
"Mittag Auto Salvage, Inc.",http://mittagautosalvage.com/,"8910 East Hardy Street
								Houst",on,TX,77093,United States,"['(713) 697-1208', '(713) 694-3859']",['mittagmotors@gmail.com'],[],[],,[],[],"Mittag Auto Salvage, Inc."
the Ultimate Scrap Showdown!,https://cdscrapmetal.com/,6775 Bingle Road Houst,on,TX,77092,United States,"['(713) 862-5588', '(832) 786-8687', '(832) 743-6500']",[],[],[],,"['Steel', 'Scrap Metal', 'Iron', 'Brass', 'Stainless Steel', 'Copper', 'Lead', 'Electronic', 'Appliance', 'Aluminum']",[],Discover scrap metal recycling services at C&D Scrap Metal. We offer competitive pricing and efficient processing for all types of metal waste. Call us today.
DALLAS RECYCLING FACILITY,https://texasrecycling.com/,,,TX,75223,United States,"['(214) 357-0261', '(214) 357-0262']",[],[],[],,"['Steel', 'Scrap Metal', 'Iron', 'Lead', 'Aluminum']",[],"Texas Recycling is a top Dallas recycling facility for commercial paper, newspaper, corrugated cardboard, and industrial metal recycling."
