name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
Hours of Operation (CST/CDT),http://www.apacheautoparts.com/,10702 Cullen Blvd,Houston,TX,77047,United States,"['(713) 731-4101', '(713) 731-4100', '(877) 412-3700']",['info@apacheautoparts.com'],[],[],,['Auto Parts'],[],"Apache Auto Parts: serving the Houston, TX area with quality used parts"
"Metal Recycling That MovesPeople, Planet & Profit Forward",https://southpostoakrecycling.com/,,,,,United States,['(713) 433-9944'],['info@southpostoakrecycling.com'],[],[],,"['Copper', 'Scrap Metal', 'Appliance', 'Aluminum']",[],"Looking for a trusted Houston Scrap Metal Recycling Center? SPORC offers top dollar for copper, aluminum, steel, & more. Fast, fair payouts—call or visit today!"
WE AREIRONMAN,https://www.theironman.biz/,1919 Goodyear Dr,Houston,TX,77017,United States,[],['scrap@theironman.biz'],[],[],,"['Scrap Metal', 'Iron']",[],"Ironman Recycling offers our customers services for a wide array of materials including steel and iron scrap, aluminum and copper scrap recycling, and more.  As a ferrous metal buyer, we offer the best scrap prices in the area and are passionate about helping to maintain a healthy environment!"
European and Japanese Used Auto Parts,https://www.lonestarautoparts.com/,6621 Liberty Road,Houston,TX,77028,United States,"['(713) 785-5151', '(800) 919-5151']",[],[],[],,"['Lead', 'Auto Parts', 'Electronic', 'Iron']",[],"Discover top-quality OEM auto parts for luxury and sports cars. Lonestar Imports in Houston, TX, can be reached at 713-785-5151."
Scott Street Auto Parts,https://scottstreetauto.com/,7115 Scott Street Houst,on,TX,77021,United States,[],[],[],[],,['Auto Parts'],[],"Used and New Auto Parts, Used Light Truck Parts, Foreign and Domestic Auto Parts. Call Scotts Street Auto Parts at 713-747-0210."
WE GUARANTEE THE HIGHEST PRICES,https://astrocityscrap.com/,4530 North Shepherd Houst,on,TX,77018,United States,[],['donbuntin1@gmail.com'],[],[],,"['Steel', 'Aluminum', 'Stainless Steel', 'Copper', 'Scrap Metal', 'Iron', 'Brass']",[],"Metal Scrap Yard Near Me Houston | Astro City Scrap Metal. We Want To Buy Your Scrap Metal! Best Price in Houston, TX! Call 713-697-2999."
Houston Scrap Metal Recycling,https://www.gulfcoastscrapmetal.com/,8770 Hempstead Rd Houst,on,TX,77008,United States,['(713) 868-4111'],"['gulfcoastscrapmetal@yahoo.com', 'gulfcoastscrapmetal@yahoo.comserving']",[],[],,"['Steel', 'Aluminum', 'Copper', 'Scrap Metal', 'Electronic', 'Brass']",[],"Recycle industrial scrap metal with Gulf Coast Scrap Metal. Offering container services, job site pick-up, and top prices in Houston. Call 713-868-4111 today!"
"Baseball and Softball Tournaments and Leagues - The Woodlands, TX - Scrap Yard Sports",https://scrapyardsports.com/,29607 Robinson Rd,Conroe,TX,77385,United States,[],[],[],[],,[],[],"Scrap Yard Sports near The Woodlands, Texas features baseball and softball tournament and league facilities with 20 fields and premier amenities serving the Houston area."
Trust Auto Parts Online Store – Trust Auto Parts LLC,https://trustautopartshtx.com/,,,,,United States,['(281) 448-1212'],['trustautohtx@gmail.comvisit'],[],[],,['Auto Parts'],[],"Trust Auto Parts is a automotive recycling company based in Houston, Texas. We are dedicated to providing customers with the highest quality recycled auto parts at amazing prices!"
Best Salvage Yards In Houston,https://www.bestinhood.com/houston/auto-services/best-salvage-yards-in-houston/,2425 W Mt Houston Rd,Houston,TX,77038,United States,[],[],[],[],,"['Lead', 'Auto Parts']",[],"Uncover the top salvage yards in Houston! From pricing to quality, explore our guide for the best deals on auto parts. Happy hunting!"
