name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
ASC Recycling,http://ascrecycling.com/,,,,,United States,"['(408) 460-4633', '(408) 280-1888']",[],[],[],,[],[],
Quality Auto & Truck Parts,http://www.actionautosanjose.com/,242 Hillcap Avenue,San Jose,CA,95136,United States,"['(800) 606-9732', '(408) 225-5553']",[],[],[],,['Auto Parts'],[],
SCRAP IRON & NON-FERROUS METALS,https://www.kramermetals.com/,1760 E. Slauson Avenue,Los Angeles,CA,90058,United States,['(323) 587-2277'],[],[],[],,"['Iron', 'Steel', 'Scrap Metal', 'Electronic', 'Appliance']",[],
C & M Metals is a provider ofScrap Metal Recycling and Metal Trading Services,https://cmmetals.net/,1709 E. 24th St.,Los Angeles,CA,90058,United States,"['(323) 234-5844', '(323) 234-4662']",['sales@cmmetals.net'],[],[],,"['Iron', 'Steel', 'Scrap Metal', 'Electronic', 'Aluminum', 'Copper']",[],C and M Metals has been one of the pioneers in the recycling of secondary metals and scrap metal waste for over 50 years.
"Allied Auto Recycling Yard - Quality Used Parts - We Buy Cars - Riverside, CA",https://www.alliedautosalvage.com/,1926 Spruce St.,Riverside,CA,92507,United States,"['(877) 784-0057', '(951) 784-0057']",[],[],[],Store Hours: Mon - Fri 8:00am - 5:00pm,['Auto Parts'],[],"Allied Auto Recycling Yard - Quality Used Parts - We Buy Cars - Riverside, CA"
10 Boat Salvage Yards in California,https://maritimepage.com/boat-salvage-yards-in-california/,1500 Newport Blvd,Costa Mesa,CA,92627,United States,"['(707) 762-7251', '(510) 467-0215', '(310) 548-5348']",[],[],[],,"['Iron', 'Battery', 'Lead', 'Electronic']",[],"Discover top boat salvage yards in California, featuring options for used boat parts, marine scrap yards, and expert marine salvage services."
SERVICES,https://sandiegocountyrecycling.com/services,3974 Spring Drive,Spring Valley,CA,91977,United States,['(619) 741-9780'],[],[],[],,['Copper'],[],We offer the best prices in San Diego.  Conveniently located in Spring Valley  94 & Bancroft Exit Nearest recycling center to the exit
All Arizona Auto Parts,https://autopartsaz.com/,40 years of auto experience between them. They are dedicated to finding high-quality replacement parts for each of our customers. We Have,You CoveredWelco,ME,,United States,['(602) 840-3263'],[],[],[],,['Auto Parts'],[],"Arizona Ford Parts, Ltd. Specializing in all makes all models"
"Trusted Scrap Metal Recycling in San Diego, CA",https://sandiegocountyrecycling.com/metal-recycling,3974 Spring Drive,Spring Valley,CA,91977,United States,['(619) 741-9780'],[],[],[],,"['Iron', 'Scrap Metal']",[],"At San Diego County Recycling, we believe in responsible metal recycling. Reach out to our team today in San Diego, CA, for more helpful services."
Best Recycling Prices in Sacramento,https://recyclingcenternear.com/,8110 Junipero St,Sacramento,CA,95828,United States,['(916) 827-3931'],[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Stainless Steel', 'Aluminum', 'Copper', 'Appliance']",[],"Best Recycling Prices in Sacramento. CRV Materials, Scrap Materials, Cans, Glass, Plastic and Copper, Wires, Brass, Aluminum, Stainless Steel. Call Now!"
