name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
Best Salvage Yards In Los Angeles,https://www.bestinhood.com/los-angeles/auto-services/best-salvage-yards-in-los-angeles/,535 Gallardo St,Los Angeles,CA,90033,United States,[],[],[],[],,"['Auto Parts', 'Lead']",[],"Discover the top salvage yards in Los Angeles! From quality parts to pricing insights, explore our guide for the best automotive deals in the City of Angels."
"Junkyards & Auto Salvagein Los Angeles, CA",https://preferredjunkyard.com/california/los-angeles/,2531 Sawtelle Blvd,Los Angeles,CA,90064,United States,[],[],[],[],,"['Iron', 'Auto Parts']",[],"Find Trusted Junkyards and Auto Salvage Yards in Los Angeles, California that Buy Junk Cars and Sell Reliable Used Auto and Truck Parts."
Sun Lite Metals,https://sunlitemetals.com/,2210 East 85th Street,Los Angeles,CA,90001,United States,"['(323) 581-0806', '(323) 581-7772']",[],[],[],,"['Iron', 'Stainless Steel', 'Scrap Metal', 'Brass', 'Copper', 'Steel', 'Aluminum']",[],
"IMPORTS LA SALVAGE - Quality Used Auto Parts, T.323-588-6100. Los Angeles, CA",https://importslasalvage.com/,"6100














  



Home
About
Services
Our Inventory
Reach us

Contact













Our Inventory






















IMPORTS LA SALVAGE
Serving Southern California used auto parts indust",ry a,ND,,United States,['(323) 588-6100'],"['importslasalv@gmail.com', 'number323-588-6100emailimportslasalv@gmail.comopening', 'emailimportslasalv@gmail.com']",[],[],,['Auto Parts'],[],"Thousands of used auto parts for Honda, Toyota, Nissan, Volkswagen, KIA, Hyundai, Mazda cars near you."
Junkyards list inLos Angeles (CA),https://usjunkyards.com/st-california/cy-los-angeles/,"970 Reviews


3333 Peck Rd",Monrov,IA,,United States,['(888) 853-0481'],[],[],[],,"['Auto Parts', 'Scrap Metal']",[],"This page has compiled the nearest junkyards and auto salvage in Los Angeles County, CA. ⭐ On this page, you can locate the nearest junkyards and salvage yards to find parts for your vehicle or to sell it."
"Quality Used Engines, Transmissions, Body Panels Parts. Los Angeles, CA",https://abautodismantling.com/,90 day warranty. Our elect,ric,AL,,United States,['(323) 221-2400'],"['abwreckingyard@gmail.com', 'emailabwreckingyard@gmail.com', '323-221-2400emailabwreckingyard@gmail.comopening']",[],[],,['Auto Parts'],[],"Engines, transmissions, break systems, suspension, electrical, body panels, tires, wheels, fuel systems, AC and Heating"
Downtownmetals,http://downtownmetals.com/contact.html,526 S Alameda St.,Los Angeles,CA,90013,United States,[],[],[],[],,['Aluminum'],[],"Welcome to Downtown Metals and Recycling Center. We are your local CRV Recycling 
Center. We Offer Competitive Pricing and  Outstanding Customer Service. 
Give us a call or come by and recycle your aluminum cans and plastic and 
glass bottles."
C & M Metals is a provider ofScrap Metal Recycling and Metal Trading Services,https://cmmetals.net/,1709 E. 24th St.,Los Angeles,CA,90058,United States,"['(323) 234-4662', '(323) 234-5844']",['sales@cmmetals.net'],[],[],,"['Iron', 'Scrap Metal', 'Copper', 'Electronic', 'Steel', 'Aluminum']",[],C and M Metals has been one of the pioneers in the recycling of secondary metals and scrap metal waste for over 50 years.
Metal Recycling Center in Los Angeles,https://www.tmscrapmetals.com/,11092 Tuxford St,Sun Valley,CA,91352,United States,['(818) 771-0510'],['771-0510info@tmscrapmetals.comhours'],[],[],,"['Iron', 'Stainless Steel', 'Scrap Metal', 'Brass', 'Copper', 'Electronic', 'Steel', 'Aluminum', 'Lead']",[],"Metal recycling in L.A. Top prices for copper, brass, stainless steel, aluminum wires, aluminum cans, plastic & glass bottles, and more. (818) 771-0510."
SCRAP IRON & NON-FERROUS METALS,https://www.kramermetals.com/,1760 E. Slauson Avenue,Los Angeles,CA,90058,United States,['(323) 587-2277'],[],[],[],,"['Iron', 'Scrap Metal', 'Electronic', 'Steel', 'Appliance']",[],
Metal Recycling Los Angeles,https://www.tmscrapmetals.com/metal-recycling-los-angeles/,11092 Tuxford St,Sun Valley,CA,91352,United States,['(818) 771-0510'],['771-0510info@tmscrapmetals.comhours'],[],[],,"['Iron', 'Stainless Steel', 'Scrap Metal', 'Brass', 'Copper', 'Steel', 'Appliance', 'Aluminum']",[],"Metal recycling in Los Angeles, CA. We pay top prices for scrap metal. Need your scrap picked up? We offer mobile recycling and can come to you. Call today!"
Scrap Metal Recycling Los Angeles - Smart Recycling Inc.,https://smartrecycling.com/scrap-metal-recycling-los-angeles/,414 West C Street,Wilmington,CA,90744,United States,"['(310) 834-4861', '(310) 830-8277']",[],[],[],,"['Iron', 'Scrap Metal', 'Brass', 'Copper', 'Steel', 'Aluminum', 'Lead']",[],Los Angeles Scrap Metal Recycling
