name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
Houston Iron Recycling with Gulf Coast Scrap Metal,https://houstontexasiron.com/,"4111
8770 Hempstead Road",Houston,TX,77008,United States,['(713) 868-4111'],[],[],[],,"['Scrap Metal', 'Iron']",[],Houston iron recycling center – Gulf Coast Scrap Metal – has the best scrap iron prices in town. Please call 713-868-4111.
INDUSTRIAL DEMOLITON,https://texassalvageandsurplusbuyers.com/industrial-demoliton-houston-tx/,,,,,United States,['(832) 356-9014'],[],[],[],,"['Aluminum', 'Lead', 'Battery', 'Scrap Metal', 'Steel', 'Stainless Steel', 'Copper', 'Iron']",[],Industrial Demolition Houston TX. We do industrial demolition in Houston. We offer free written estimates. Scrap Metal Salvage demolition.
San Antonio Scrap Metal Removal ~ Texas,https://goloadup.com/san-antonio/scrap-metal-removal/,85 NE Interstate 410 Loop #404,San Antonio,TX,78216,United States,"['(844) 239-7711', '(404) 947-6060']",[],[],[],Monday – Sunday 8:00 AM – 8:00 PM EST,"['Appliance', 'Lead', 'Scrap Metal', 'Electronic', 'Iron']",[],"From heavy metal debris to old appliances, we haul it all in San Antonio, TX. Count on our background-checked team for reliable scrap metal removal and disposal."
Houston TX Aluminum Recycling Center,https://astrocityscrap.com/houston-tx-aluminum-recycling-center/,4530 North Shepherd Houst,on,TX,77018,United States,['(713) 697-2999'],['donbuntin1@gmail.com'],[],[],,"['Brass', 'Aluminum', 'Scrap Metal', 'Steel', 'Stainless Steel', 'Copper', 'Iron']",[],"Houston TX Aluminum Recycling Center, Astro City Scrap Metal will pay you top dollar for your scrap metal in CASH! Call now!"
Houston’s E-Waste Recycling Centers: What to Expect,https://ecircular.com/houstons-e-waste-recycling-centers/,"2025 



eCircular 














455 W 38th St",Houston,TX,77018,United States,"['(800) 356-8933', '(713) 660-1815']","['info@ecircular.com', 'office@tecnologia.com']",[],[],,"['Electronic', 'Battery', 'Iron']",[],Becoming familiar with these centers and how they operate can ensure a smooth recycling experience while contributing to a sustainable future.
Recycling,https://dfwrolloff.com/services/recycling/,12021 Jacksboro Hwy,Fort Worth,TX,76135,United States,['(817) 369-3068'],[],[],[],,['Iron'],[],
Metal recycling dallas tx,https://www.actionmetalsrecyclers.com/,3514 Botham Jean Blvd,Dallas,TX,75215,United States,"['(214) 421-9932', '(214) 421-9981', '(469) 490-0079']","['boris@actionmetalsinc.com', 'officestaff@actionmetalsinc.com']",[],[],Mon-Fri : 8am - 6:00pm Sat : 8am - 4:30pm Sun : 8am - 12:30pm,"['Brass', 'Aluminum', 'Lead', 'Scrap Metal', 'Steel', 'Stainless Steel', 'Copper', 'Iron']",[],"Choose Action Metal Recyclers for top-notch metal recycling in Dallas, TX. Contact us now for great rates and more information."
Residential E-Waste Recycling,https://compucycle.com/residential-electronics-recycling/,8019 Kempwood Dr,Houston,TX,77055,United States,"['(888) 314-7922', '(713) 999-4671', '(713) 869-6700']","['info@compucycle.com', '713-866-8033info@compucycle.comour']",[],[],,"['Appliance', 'Electronic', 'Iron']",[],"Safely recycle your personal electronics with CompuCycle’s residential recycling program. We provide secure and eco-friendly disposal for old devices, ensuring responsible e-waste management while protecting your data and the environment."
Dallas Scrap Metal Buyers & Recycling Centers,https://scrapvisor.com/texas/dallas/,"0








Ocean Star Metals
2019 Ruder St",Dallas,TX,75212,United States,"['(972) 303-8388', '(214) 421-9981', '(972) 869-0802']",[],[],[],,"['Zinc', 'Brass', 'Aluminum', 'Lead', 'Scrap Metal', 'Steel', 'Stainless Steel', 'Copper', 'Iron']",[],"Find trusted scrap metal buyers and recycling centers in Dallas. View up-to-date scrap metal prices, explore our interactive map of local scrap yards, and connect with reputable companies for fast and profitable scrap sales."
"Electronic Recycling in Houston, TX",https://therecycleguide.org/electronic-recycling/houston-tx/,,,,,United States,['(855) 713-6280'],[],[],[],,"['Appliance', 'Lead', 'Battery', 'Electronic', 'Iron']",[],
