name,phone,email,website,address,city,state,country,materials_accepted,data_completeness,source,scraped_at
South Buffalo Auto Parts,(716) 427-6510,sbap14210@ymail.com,https://www.sbuffaloautoparts.com/,"654 Elk Street""",Buffalo,NY,United States,"['iron', 'scrap metal']",100,Bing,2025-07-12T01:24:46.928200
"ᐉ Scrap Metal Yards and Dealers in Los Angeles – Prices, Locations",(323) 234-4662,admin-contacted@proton.me,https://metalrecap.com/los-angeles-ca/,"414 W C St""",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:24:54.191403
Recycling Services Near Me,(323) 306-4446,sales@cmmetals.net,https://www.candmmetalrecyclinglosangeles.com/,"1709 E 24th St""",Los Angeles,CA,United States,"['iron', 'scrap metal']",100,Bing,2025-07-12T01:24:54.606793
Metal Fabrication Company,(215) 879-5850,your@email.com,https://www.colonialiron.net/,"3 standard"">",Philadelphia,PA,United States,['iron'],100,Bing,2025-07-12T01:25:06.144674
Scrap Metal Traders,(215) 288-6555,unitedmetal@aol.com,https://www.unitedmetaltraders.com/,"3 standard"">",Philadelphia,PA,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:06.182623
Philadelphia Metal & Resource Recovery Inc.,(215) 423-4800,eric@pmarr.com,https://www.recyclingmonster.com/recycling-center/philadelphia-metal-resource-recovery-inc/54324,2204 E Somerset St,,,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:06.417397
"Scrap Metal Prices, Recycling, Services, and Dealers",(610) 623-7772,info@accuraterecycling.com,https://accuraterecycling.com/services/scrap-metal/,"26 5th Street<br>",Lansdowne,PA,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:06.808080
"Philadelphia, PA",(215) 295-9510,flags@2x.png,https://www.phoenixmetals.com/locations/philadelphia-pa/,2 ast-blog-single-style-1 ast-custom-post-type ast-single-post ast-inherit-site-logo-transparent ast-hfb-header elementor-default elementor-kit-88 ele,Morrisville,PA,United States,"['aluminum', 'steel', 'iron']",100,Bing,2025-07-12T01:25:07.252544
Allegheny Iron & Metal Co Inc,(215) 743-7760,info@scrapmonster.com,https://www.scrapmonster.com/scrap-yard/allegheny-iron-metal-co-inc/10136,2200 Adams Ave,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:11.603833
"ᐉ Scrap Metal Yards and Dealers in Johnstown – Prices, Locations",(814) 535-5259,admin-contacted@proton.me,https://metalrecap.com/johnstown-pa/,"1019 River Ave""",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:12.215346
ᐉ Monterrey Iron & Metal,(210) 927-2727,admin-contacted@proton.me,https://metalrecap.com/monterrey-iron-metal-san-antonio/,2300 Frio City Rd,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:14.991886
"ᐉ Scrap Metal Yards and Dealers in San Diego – Prices, Locations",(858) 381-7882,admin-contacted@proton.me,https://metalrecap.com/san-diego-ca/,"2846 Commercial St""",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:16.804226
East Texas Scrap Yard Locations,(646) 679-1082,mymail@mailservice.com,https://www.aimrecyclingco.com/scrap-yard-locations,"3 standard"">",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:18.744732
"Scrap Yards in Dallas, Texas, United States",(961) 323-5326,info@scrapmonster.com,https://www.scrapmonster.com/scrap-yard/united-states/texas/dallas,3238 Towerwood Drive<br>Dallas<br>Texas,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:18.981927
"Encore Recyclers, Inc",(972) 272-5845,info@encorerecyclers.com,https://www.recyclingmonster.com/recycling-center/encore-recyclers-inc/37214,301 SOUTH SHILOH ROAD,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:20.685141
Dallas,(214) 428-2861,myCMC-logo@2x.png,https://www.cmcrecycling.com/locations/dallas-south,"100 list-unstyled d-flex justify-content-end align-items-center overflow-hidden"">",,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:21.583327
Dallas,(214) 689-3500,myCMC-logo@2x.png,https://www.cmcrecycling.com/locations/dallas-west,"100 list-unstyled d-flex justify-content-end align-items-center overflow-hidden"">",,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:21.629824
Home,(214) 421-8603,Info@CycloneRecycling.com,https://cyclonerecycling.com/,11221 Tantor Road<br/>Dallas,Dallas,TX,United States,"['iron', 'scrap metal']",100,Bing,2025-07-12T01:25:22.392464
"ᐉ Scrap Metal Yards and Dealers in Austin – Prices, Locations",(512) 477-4640,admin-contacted@proton.me,https://metalrecap.com/austin-tx/,"15006 Iowa St""",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:34.462808
American Recycling Inc,(817) 625-4366,support@americanrecyclinginc.com,https://www.recyclingmonster.com/recycling-center/american-recycling-inc/31814,"2 yardloclist""><tr><td><strong>3750 N. Main St.</strong><br />Fort Worth<br /> Texas<br />United States<br />ZIP: 76106<div class=""clearfix""></div><di",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:41.149468
Fort Worth Metal Recycling,(817) 386-5649,info@fortworthmetalrecycling.com,https://www.recyclingmonster.com/recycling-center/fort-worth-metal-recycling/54966,2427 Decatur Ave,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:41.300836
ᐉ Gachman Metals & Recycling Co,(817) 334-0211,admin-contacted@proton.me,https://metalrecap.com/gachman-metals-recycling-co-fort-worth/,2600 Shamrock Ave,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:41.778359
