name,phone,email,website,address,city,state,country,materials_accepted,data_completeness,source,scraped_at
Metal Scrap Yard Near Me Houston,(713) 697-2999,donbuntin1@gmail.com,https://astrocityscrap.com/,"4530 N Shepherd Dr""",Houston,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:55:15.423199
Houston,(713) 226-0100,myCMC-logo@2x.png,https://www.cmcrecycling.com/locations/houston,"100 list-unstyled d-flex justify-content-end align-items-center overflow-hidden"">",,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:55:16.148713
Auto Salvage,(817) 831-6316,sales@all-import.com,https://all-import.com/auto-salvage/,1500 Carson St,Fort Worth,TX,United States,['iron'],100,Bing,2025-07-12T00:55:32.946598
"Metal Recycling Centers in Indianapolis,Indiana",(961) 323-5326,info@scrapmonster.com,https://www.scrapmonster.com/recycling-centers/metal/indiana/indianapolis/1-79,2351 Kentucky Ave,Indianapolis,IN,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:55:34.895260
"Recycle Metal – Denver, CO – JDog Junk Removal & Hauling",(720) 549-0911,centennial@jdog.com,https://www.jdogsouthdenver.com/metal-recycling,"3 standard"">",,,United States,"['iron', 'scrap metal']",100,Bing,2025-07-12T00:55:35.111596
Aurora,(303) 367-0822,aurora@atlasmetal.com,https://www.atlasmetalandiron.com/aurora/,2601 Chambers Road,Aurora,CO,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass']",100,Bing,2025-07-12T00:55:35.309561
"Scrap Metal Pickup in Englewood, CO",(888) 888-5865,vue@3.5.13.vue.global.prod.js||,https://www.junk-king.com/locations/denver-south/scrap-metal-pickup,,Denver,CO,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:55:36.052708
A Plus Auto Salvage,(800) 877-3220,Carpart123@gmail.com,http://aplusautosalvage.com/directions.html,6813 Oak Crest Dr East<br />Fort Worth,Fort Worth,TX,United States,,90,Bing,2025-07-12T00:55:30.802333
NATIONAL TRUCK SALVAGE,(210) 623-2000,Nationaltrck@sbcglobal.net,http://recycler.car-part.com/NationalTruck/,,,,United States,,80,Bing,2025-07-12T00:55:27.440450
Action Auto Recycling,(817) 535-0063,info@ActionAutoRecycling.com,http://actionautorecycling.com/,,,TX,United States,,80,Bing,2025-07-12T00:55:30.799333
Denver’s Same,(214) 748-3647,,https://www.1800gotjunk.com/us_en/locations/junk-removal-denver/us04031/scrap-metal-recycling,,,,United States,"['iron', 'scrap metal']",70,Bing,2025-07-12T00:55:34.341013
Rose Metal Processing Houston Scrap Metal Recyclers,(713) 880-7000,,http://rosemetal.net/,1 Mile West of Downtown Houston<br>2902 Center St. Houston,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",60,Bing,2025-07-12T00:55:15.170660
Late Model Auto Salvage,(888) 629-8070,,https://www.partshotlines.com/recyclers/tx/ft-worth/late-model-auto-salvage.html,,Worth,TX,United States,['iron'],50,Bing,2025-07-12T00:55:32.748655
