name,address,city,state,zip_code,country,phone,website,email,latitude,longitude,shop_type,opening_hours,description,recycling_type,recycling_materials,accepts_cash,accepts_cards,wheelchair_access,industrial_use,craft_type,source,osm_id,osm_type,scraped_at,metal_types_detected,services_detected
Sims Metal Management,,,,,US,,,,41.8456046,-87.6701057,recycling,,,,,,,,,,OpenStreetMap Enhanced,405740605,way,2025-07-07T00:40:23.987773,['aluminum'],[]
Bridgeport Metals,,,,,US,,,,41.8250316,-87.6565342,recycling,,,,,,,,,,OpenStreetMap Enhanced,411801291,way,2025-07-07T00:40:23.987773,['aluminum'],[]
Recycling Center,,,,,US,,,,41.8762315,-87.8295914,recycling,,,centre,,,,,,,OpenStreetMap Enhanced,449028869,way,2025-07-07T00:40:23.987773,[],[]
"Advance Products, Inc.",140 State Street,Calumet City,IL,60409,US,+1-708-832-1111,http://www.advanceproductinc.com/,,41.6230083,-87.527869,,,,,,,,,,metal_construction,OpenStreetMap Enhanced,779007063,way,2025-07-07T00:40:23.988885,"['titanium', 'aluminum']",[]
Materials Recycling and Recovery Facility - Mendall,,,,,US,,,,41.9233336,-87.6698059,recycling,,,centre,,,,,,,OpenStreetMap Enhanced,18108368,relation,2025-07-07T00:40:23.988885,['aluminum'],[]
Waste Management,,,,,US,,,,42.4090547,-83.2368005,waste_disposal,,,,,,,,,,OpenStreetMap Enhanced,7742061712,node,2025-07-07T00:40:34.790872,[],[]
Recycle Here!,5960 Lincoln Street,Detroit,MI,48202,US,,,,42.3618891,-83.0827687,recycling,"Mo,We 10:00-18:00; Sa 09:00-15:00",,centre,,,,,,,OpenStreetMap Enhanced,9101496601,node,2025-07-07T00:40:34.790872,[],[]
Windsor Barrel & Drum Co. Inc.,2215 Janette Avenue,Windsor,,N8X 1Z9,US,+1-519-253-4887,https://windsorbarrelanddrumcoinc.com,,42.2920471,-83.0306253,,Mo-Fr 7:00-16:00,"Metal Barrels in Windsor, ON",,,,,,,metal_construction,OpenStreetMap Enhanced,9869620157,node,2025-07-07T00:40:34.790872,"['titanium', 'aluminum']",[]
Klassen Custom Fabricating Inc.,5140 Ure Street,Oldcastle,,N0R 1L0,US,(519) 737-6631,https://klassenfab.com,,42.2377952,-82.952495,,"Mon-thur-7am - 5Pm,Fri: 7am -3:30Pm","Our highly skilled work force will design, co-ordinate, fabricate and install your next steel project to meet customer requirements.",,,,,,,metal_construction,OpenStreetMap Enhanced,12651855161,node,2025-07-07T00:40:34.791872,"['stainless_steel', 'copper', 'tin', 'steel', 'titanium', 'aluminum']",[]
Detroit Iron & Metal,8350 Dix Avenue,Detroit,MI,48209,US,,,,42.3166904,-83.1361076,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,163003419,way,2025-07-07T00:40:34.791872,"['steel', 'aluminum']",[]
Zalev's Scrapyard,100 Grand Marais Road East,Windsor,,N9A 6N5,US,,,,42.2796627,-83.0144327,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,167711055,way,2025-07-07T00:40:34.791872,['aluminum'],[]
Danny's Used Auto Parts,14201 Schaefer Highway,Detroit,MI,48227,US,,,,42.3899773,-83.1803751,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,226904732,way,2025-07-07T00:40:34.791872,[],[]
Davison Auto Parts,5625 East Davison Street,Detroit,MI,48212,US,,,,42.4217905,-83.0466249,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,493841996,way,2025-07-07T00:40:34.791872,[],[]
Ferrous Processing and Trading Kronk,9100 John Kronk Street,Detroit,MI,48210,US,,,,42.3226104,-83.1470229,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,493918415,way,2025-07-07T00:40:34.791872,['stainless_steel'],['processing']
Pick-A-Part Salvage Yard,7800 Dix Street,Detroit,MI,48209,US,,,,42.3187778,-83.1324346,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,555498231,way,2025-07-07T00:40:34.791872,['aluminum'],[]
Central Avenue Auto Parts,3022 Central Avenue,Detroit,MI,48209,US,,,,42.3197387,-83.1281732,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,555498232,way,2025-07-07T00:40:34.791872,['aluminum'],[]
7-D's Towing,,,,,US,,,,42.4254868,-83.0477277,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,556886925,way,2025-07-07T00:40:34.791872,[],[]
Ryan's Hubbell Auto Parts,9309 Hubbell Street,Detroit,MI,,US,,,,42.3621707,-83.1895051,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,557154741,way,2025-07-07T00:40:34.791872,[],[]
Demmy Auto,7780 Majestic Street,Detroit,MI,48210,US,,,,42.346448,-83.1469302,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,560390242,way,2025-07-07T00:40:34.791872,[],[]
Ultimate Used Auto Parts,14100 Fullerton Street,Detroit,MI,48227,US,,,,42.3809362,-83.1840485,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,560394703,way,2025-07-07T00:40:34.791872,['titanium'],[]
Debay Impound Lot,14201 Joy Road,Detroit,MI,48228,US,,,,42.3565189,-83.1832649,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,560511464,way,2025-07-07T00:40:34.791872,[],[]
Airport Auto Sales & Service,10000 French Road,Detroit,MI,48213,US,,,,42.4020906,-83.0016018,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,560837284,way,2025-07-07T00:40:34.791872,['aluminum'],[]
One Stop Auto Parts,2550 East McNichols Road,Detroit,MI,48212,US,,,,42.4181787,-83.0765559,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,566884066,way,2025-07-07T00:40:34.791872,[],[]
Kings Auto Parts,1770 East McNichols Road,Detroit,MI,48212,US,,,,42.4176207,-83.084465,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,566884071,way,2025-07-07T00:40:34.791872,[],[]
K&J Used Auto Parts,8350 John Kronk Street,Detroit,MI,48210,US,,,,42.3213794,-83.1393355,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,568388046,way,2025-07-07T00:40:34.791872,[],[]
Strong Steel Products,6464 Strong Street,Detroit,MI,48211,US,,,,42.3842368,-83.0333877,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,568808118,way,2025-07-07T00:40:34.791872,['steel'],[]
Global Auto Parts,14420 Livernois Avenue,Detroit,MI,48238,US,,,,42.3948676,-83.1377494,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,569048274,way,2025-07-07T00:40:34.791872,['aluminum'],[]
Kimmel Scrap Iron & Metal,10571 West Grand River,Detroit,MI,48204,US,,,,42.3698302,-83.1485174,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,569468205,way,2025-07-07T00:40:34.791872,"['steel', 'aluminum']",[]
Charity Motors,,,,,US,,,,42.3703758,-83.1465235,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,569468206,way,2025-07-07T00:40:34.791872,[],[]
Auto Liquidation Inc.,10565 Grand River Avenue,Detroit,MI,48204,US,,,,42.3691203,-83.147544,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,569468219,way,2025-07-07T00:40:34.791872,['titanium'],[]
American Auto Recycling,8951 Alpine Street,Detroit,MI,48204,US,,,,42.3605374,-83.1478633,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,569468221,way,2025-07-07T00:40:34.791872,[],[]
Detroit Car Center,7735 Central Avenue,Detroit,MI,48210,US,,,,42.3505941,-83.146946,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,569785636,way,2025-07-07T00:40:34.791872,[],[]
K Scrap Resources,,,,,US,,,,42.2923933,-83.0871518,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,570707782,way,2025-07-07T00:40:34.791872,[],[]
Winston Brothers Iron & Metal,,,,,US,,,,42.4215283,-83.0645026,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,570795230,way,2025-07-07T00:40:34.791872,"['steel', 'aluminum']",[]
Romin Iron & Metal,,,,,US,,,,42.4222992,-83.0651167,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,570795231,way,2025-07-07T00:40:34.791872,"['steel', 'aluminum']",[]
Judd Warehousing,,,,,US,,,,42.4253578,-83.0539974,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,570795235,way,2025-07-07T00:40:34.791872,[],[]
Mitch's Auto Parts,7400 East McNichols Road,Detroit,MI,48212,US,,,,42.418311,-83.0276929,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,574209199,way,2025-07-07T00:40:34.791872,[],[]
Broadway Auto Parts,,,,,US,,,,42.4067957,-83.0416417,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,574209200,way,2025-07-07T00:40:34.791872,[],[]
Schlafer Iron & Steel,1950 Medbury Street,Detroit,MI,48211,US,,,,42.3703855,-83.0495582,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,580990734,way,2025-07-07T00:40:34.791872,['steel'],[]
Boulevard and Trumbull Towing,2411 Vinewood Street,Detroit,MI,48216,US,,,,42.325957,-83.0952901,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,581414674,way,2025-07-07T00:40:34.791872,[],[]
Resource Recovery and Recycling Authority of Southwest Oakland County,20000 8 Mile Road,Southfield,MI,48075,US,,https://www.rrrasoc.org/,,42.4452273,-83.2387736,recycling,,,centre,,,,,,,OpenStreetMap Enhanced,581728321,way,2025-07-07T00:40:34.791872,[],[]
Ed's Discount Auto Parts,80 East 7 Mile Road,Detroit,MI,48203,US,,,,42.4316002,-83.1010124,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,583556130,way,2025-07-07T00:40:34.791872,[],[]
"City Recycling, Inc.",1943 Mack Avenue,Detroit,MI,48207,US,,,,42.3554658,-83.039966,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,583752743,way,2025-07-07T00:40:34.791872,[],[]
Sal's Auto Parts,12680 Greenfield Road,Detroit,MI,48227,US,,,,42.3815845,-83.1970847,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,589381927,way,2025-07-07T00:40:34.791872,['aluminum'],[]
Michigan Carmart,2211 West Edsel Ford Service Drive,Detroit,MI,48208,US,,,,42.3520793,-83.0891571,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,605651537,way,2025-07-07T00:40:34.791872,[],[]
A1 Towing & Junk Cars,9101 Fort Street West,Detroit,MI,48209,US,,,,42.296163,-83.1278271,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,608398789,way,2025-07-07T00:40:34.791872,[],[]
Fort Iron & Metal,9607 Dearborn Street,Detroit,MI,48209,US,,,,42.2930592,-83.1336313,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,608398806,way,2025-07-07T00:40:34.791872,"['steel', 'aluminum']",[]
Price Used Auto Parts,,,,,US,,,,42.3881411,-82.9834908,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,613466038,way,2025-07-07T00:40:34.791872,[],[]
Bobby's Towing,10807 Lyndon Street,Detroit,MI,48238,US,,,,42.3943998,-83.1679273,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,631671330,way,2025-07-07T00:40:34.791872,[],[]
Bobby's TCB Towing Services,10401 Lyndon Street,Detroit,MI,48238,US,,,,42.3944541,-83.1636786,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,631671332,way,2025-07-07T00:40:34.791872,[],[]
Tri County Towing,13404 Girardin Street,Detroit,MI,48212,US,,,,42.4126793,-83.0339912,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,632040794,way,2025-07-07T00:40:34.791872,[],[]
Premier Auto Wholesale,7170 East McNichols Road,Detroit,MI,48212,US,,,,42.4184192,-83.02931,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,632040799,way,2025-07-07T00:40:34.791872,['aluminum'],[]
McNichols Scrap Iron & Metal,,,,,US,,,,42.4182687,-83.0350948,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,632040801,way,2025-07-07T00:40:34.791872,"['nickel', 'steel', 'aluminum']",[]
American Dismantling & Recycling,,,,,US,,,,42.3528233,-83.0116521,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,633706075,way,2025-07-07T00:40:34.791872,[],[]
Consumer Auto Parts,6550 East Lafayette Street,Detroit,MI,48207,US,,,,42.3481272,-83.0085493,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,633706081,way,2025-07-07T00:40:34.791872,[],[]
Executive Towing,6445 East Hildale Street,Detroit,MI,48234,US,,,,42.4318986,-83.0367734,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,636615993,way,2025-07-07T00:40:34.791872,"['titanium', 'copper']",[]
Joey's Towing,10290 Gratiot Avenue,Detroit,MI,48213,US,,,,42.3978053,-83.0014526,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,640166493,way,2025-07-07T00:40:34.791872,[],[]
Hollywood Auto,,,,,US,,,,42.394381,-83.1702869,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,641697946,way,2025-07-07T00:40:34.791872,[],[]
Big Sam Auto Parts,,,,,US,,,,42.3937257,-83.1701939,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,641697950,way,2025-07-07T00:40:34.791872,[],[]
H&B Land/Elite Towing,10800 Devine Street,Detroit,MI,48213,US,,,,42.3979877,-82.9967551,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,652396308,way,2025-07-07T00:40:34.791872,[],[]
Red's Towing,7301 Clayton Street,Detroit,MI,48210,US,,,,42.323724,-83.1296774,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,655741966,way,2025-07-07T00:40:34.791872,[],[]
Simons Auto Parts,,,,,US,,,,42.3231954,-83.1308978,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,655741967,way,2025-07-07T00:40:34.791872,[],[]
SLC Recycling Industries,8701 East 8 Mile Road,Warren,MI,48089,US,,,,42.4505851,-83.015709,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,669598399,way,2025-07-07T00:40:34.791872,[],[]
Ferrous Processing & Trading Wyoming Ave facility,3651 Wyoming Street,Dearborn,MI,48126,US,,,,42.3143252,-83.1564791,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,669969962,way,2025-07-07T00:40:34.791872,['stainless_steel'],['processing']
Prestige Auto Parts,20500 Mound Road,Detroit,MI,48234,US,,,,42.4465273,-83.0428752,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,677746911,way,2025-07-07T00:40:34.791872,['titanium'],[]
FA Auto Parts,20433 Sherwood Street,Detroit,MI,48234,US,,,,42.4464541,-83.0352641,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,677746921,way,2025-07-07T00:40:34.791872,[],[]
Goch & Sons Towing,750 South Deacon Street,Detroit,MI,48217,US,,,,42.2825045,-83.1425602,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,682095640,way,2025-07-07T00:40:34.791872,[],[]
Eaton Auto & Salvage,,,,,US,,,,42.3967729,-83.1736793,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,689718551,way,2025-07-07T00:40:34.791872,['aluminum'],[]
FPR Lafayette Recycling,7700 Dix Street,Detroit,MI,48209,US,,,,42.3176272,-83.128373,recycling,,,centre,,,,,,,OpenStreetMap Enhanced,690033271,way,2025-07-07T00:40:34.791872,[],[]
Esso Wrecking Company,20000 John R Street,Detroit,MI,48203,US,,,,42.4405498,-83.1023123,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,691282957,way,2025-07-07T00:40:34.791872,['stainless_steel'],[]
Hill & Hill Automotive,5150 Stanton Street,Detroit,MI,48208,US,,,,42.3503141,-83.0906262,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,771377398,way,2025-07-07T00:40:34.791872,['titanium'],[]
Ruby Recycling,3298 Dix Highway,Lincoln Park,MI,48146,US,,,,42.2373912,-83.1960277,recycling,,,centre,,,,,,,OpenStreetMap Enhanced,776518441,way,2025-07-07T00:40:34.791872,[],[]
Tom's Auto Wrecking,3101 Bellevue Street,Detroit,MI,48207,US,,,,42.3599622,-83.0163721,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,828560866,way,2025-07-07T00:40:34.791872,[],[]
Bud's Auto,9335 Livernois Avenue,Detroit,MI,48204,US,,,,42.3646877,-83.1390337,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,1013189246,way,2025-07-07T00:40:34.791872,[],[]
Entrepreneur's Towing Auto,,,,,US,,,,42.3737684,-82.9897551,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,1014941775,way,2025-07-07T00:40:34.791872,[],[]
Elite Towing/H&B Land,13000 East McNichols Road,Detroit,MI,48205,US,,,,42.4243376,-82.990311,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,1017618627,way,2025-07-07T00:40:34.791872,[],[]
Karbones,,,,,US,,,,42.3214258,-83.1415292,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,1065600761,way,2025-07-07T00:40:34.791872,[],[]
Basic Recycling,,,,,US,,,,42.3793967,-83.1838958,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,1134259707,way,2025-07-07T00:40:34.791872,[],[]
Essex Metals,,,,,US,,,,42.3168945,-82.9962244,scrap_yard,,,,,,,,scrap_yard,,OpenStreetMap Enhanced,1410111158,way,2025-07-07T00:40:34.791872,"['stainless_steel', 'aluminum']",[]
Recycling Makes Cents,,,,,US,,,,42.3217117,-82.9904729,recycling,,,centre,,,,,,,OpenStreetMap Enhanced,1410111166,way,2025-07-07T00:40:34.791872,[],[]
