name,phone,email,website,address,city,state,country,description,materials,services
FINDYOUR LOCALEMR METAL RECYCLINGSCRAPYARD,(856) 583-1830,,https://us.emrgroup.com/,,,,United States,Welcome to EMR Metal Recycling USA. We're one of the world's leading metal recyclers with locations across the globe.,"copper, iron, cable","container, demolition, processing"
United Scrap Metal Buyers and Recyclers – Committed to Making a Positive Impact in the Lives of Others,(708) 780-6800,,https://unitedscrap.com/,,,,United States,"


United Scrap Metal Buyers and Recyclers – Committed to Making a Positive Impact in the Lives of Others











































 








EnglishEspañolPolskiCustomer Log InGet a QuoteSchedule PickupEnglishEspañolPolskiWho We AreBusiness DiversityCommunity EngagementOur PromiseC",,"pickup, container"
Sims Metal,1683130933,,https://www.simsmm.com/,,,,United States,"Sims Metal buys ferrous metal from metal dealers, peddlers, auto wreckers, demolition firms and others who generate obsolete metal.We source non-ferrous metals from manufacturers, and from generators of electricity, telecommunication providers, and others.",,"container, demolition, processing"
PEOPLE POWERED.,(513) 422-3696,,https://www.cohenusa.com/,,,,United States,"Cohen Recycling is headquartered in Middletown, Ohio, and operates a number of public and commercial metal recycling facilities throughout the Ohio Valley region.",iron,container
Upstate Shredding - Weitsman Recycling,1752671875,,https://www.upstateshredding.com/,,,,United States,We are the largest privately owned scrap metal processing & recycling operation on the East Coast.,steel,"container, processing"
Welcome to the Ultimate Scrap Showdown!,(713) 862-5588,,https://cdscrapmetal.com/,,,,United States,Discover scrap metal recycling services at C&D Scrap Metal. We offer competitive pricing and efficient processing for all types of metal waste. Call us today.,"copper, aluminum, steel, iron, brass, wire","container, processing, weighing"
RECYCLINGREDEFINED,(214) 748-3647,,https://www.sarecycling.com/,,,,United States,Your car still has VALUE. If you have an old car or damaged car that you’re ready to get rid of. WE WILL PAY CASH FOR IT TODAY!,"copper, aluminum, steel, iron, brass","container, demolition, processing"
Metal Recycling Center in Los Angeles,(818) 771-0510,tmjunkermoval@gmail.com,https://www.tmscrapmetals.com/,,,,United States,"Metal recycling in L.A. Top prices for copper, brass, stainless steel, aluminum wires, aluminum cans, plastic & glass bottles, and more. (818) 771-0510.","copper, aluminum, steel, iron, brass, wire, cable","container, demolition"
We Recycle Scrap Metal,(651) 454-9215,recycle@jrsadvancedrecyclers.com,https://jrsadvancedrecyclers.com/,,,,United States,We Recycle Scrap Metal,,container
USA Locations,(708) 730-1400,,https://scrapmetalservices.com/usa-locations/,,,,United States,Scrap Metal Services have many locations with recycling centers in USA with two of them open to the public. For more info call 708-730-1400.,"steel, iron","container, demolition, processing"
